1,61
2,1
3,4
4,21
5,74
6,4
7,31
8,3
9,13
10,1
11,66
12,98
13,77
14,63
15,3
16,46
17,8
18,99
19,36
20,81
21,59
22,78
23,95
24,63
25,59
26,65
27,42
28,58
29,1
30,8
31,86
32,3
33,18
34,67
35,8
36,64
37,19
38,92
39,66
40,42
41,14
42,96
43,17
44,42
45,92
46,66
47,74
48,92
49,23
50,46
51,51
52,46
53,36
54,79
55,79
56,25
57,8
58,13
59,28
60,81
61,32
62,25
63,46
64,63
65,46
66,45
67,78
68,15
69,48
70,46
71,39
72,51
73,4
74,36
75,14
76,19
77,74
78,67
79,4
80,38
81,46
82,19
83,93
84,62
85,6
86,2
87,96
88,12
89,39
90,58
91,8
92,69
93,91
94,45
95,75
96,32
97,98
98,61
99,39
100,27
101,89
102,61
103,1
104,9
105,39
106,98
107,2
108,61
109,2
110,79
111,57
112,5
113,1
114,79
115,9
116,77
117,1
118,51
119,21
120,9
121,45
122,66
123,13
124,19
125,83
126,75
127,47
128,6
129,65
130,46
131,1
132,7
133,22
134,82
135,8
136,86
137,97
138,92
139,43
140,9
141,9
142,87
143,8
144,63
145,72
146,11
147,77
148,45
149,8
150,19
151,75
152,39
153,78
154,54
155,38
156,65
157,95
158,19
159,81
160,38
161,41
162,22
163,63
164,9
165,81
166,2
167,67
168,93
169,7
170,21
171,7
172,18
173,9
174,3
175,26
176,35
177,38
178,4
179,88
180,23
181,13
182,88
183,84
184,78
185,16
186,2
187,37
188,74
189,61
190,48
191,96
192,18
193,74
194,85
195,61
196,7
197,36
198,6
